"","movie_title","imdb_rating","tomato_meter","audience_score"
"1","Avengers: Infinity War",8.4,85,91
"2","Avengers: Endgame",8.4,94,90
"3","Spider-Man: No Way Home",8.2,93,98
"4","The Avengers",8,91,91
"5","Guardians of the Galaxy",8,92,92
"6","Iron Man",7.9,94,91
"7","Thor: Ragnarok",7.9,93,87
"8","Guardians of the Galaxy Vol. 3",7.9,82,94
"9","Captain America: Civil War",7.8,90,89
"10","Captain America: The Winter Soldier",7.7,90,92
"11","Guardians of the Galaxy Vol. 2",7.6,85,87
"12","Doctor Strange",7.5,89,86
"13","Deadpool & Wolverine",7.5,78,94
"14","Thunderbolts*",7.5,88,93
